@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
3479,'2017/03/22 18:36:21:830',3,0.463012,0.789641,1
3480,'2017/03/22 18:36:21:831',3,0.463012,0.802279,1
3481,'2017/03/22 18:36:21:912',3,0.47881,0.802279,1
3482,'2017/03/22 18:36:21:912',3,0.47881,0.814918,1
3483,'2017/03/22 18:36:22:063',3,0.494268,0.814918,1
3484,'2017/03/22 18:36:22:063',3,0.494268,0.827556,1
3485,'2017/03/22 18:36:22:128',3,0.509253,0.827556,1
3486,'2017/03/22 18:36:22:128',3,0.509253,0.840159,1
3487,'2017/03/22 18:36:22:212',3,0.523779,0.840159,1
3488,'2017/03/22 18:36:22:212',3,0.523779,0.852762,1
3489,'2017/03/22 18:36:22:343',3,0.537596,0.852762,1
3490,'2017/03/22 18:36:22:343',3,0.537596,0.865364,1
3491,'2017/03/22 18:36:22:429',3,0.550785,0.865364,1
3492,'2017/03/22 18:36:22:430',3,0.550785,0.877967,1
3493,'2017/03/22 18:36:22:585',3,0.563367,0.877967,1
3494,'2017/03/22 18:36:22:585',3,0.563367,0.89048,1
3495,'2017/03/22 18:36:22:643',3,0.575629,0.89048,1
3496,'2017/03/22 18:36:22:643',3,0.575629,0.902994,1
3497,'2017/03/22 18:36:22:710',3,0.587487,0.902994,1
3498,'2017/03/22 18:36:22:711',3,0.587487,0.915419,1
3499,'2017/03/22 18:36:22:885',3,0.598941,0.915419,1
3500,'2017/03/22 18:36:22:886',3,0.598941,0.927844,1
3501,'2017/03/22 18:36:22:929',3,0.610064,0.927844,1
3502,'2017/03/22 18:36:22:929',3,0.610064,0.940269,1
3503,'2017/03/22 18:36:23:010',3,0.620834,0.940269,1
3504,'2017/03/22 18:36:23:010',3,0.620834,0.952281,1
3505,'2017/03/22 18:36:23:195',3,0.63128,0.952281,1
3506,'2017/03/22 18:36:23:196',3,0.63128,0.963642,1
3507,'2017/03/22 18:36:23:226',3,0.641317,0.963642,1
3508,'2017/03/22 18:36:23:227',3,0.641317,0.974454,1
3509,'2017/03/22 18:36:23:293',3,0.641317,0.974454,1
3510,'2017/03/22 18:36:23:293',3,0.641317,0.985263,1
3511,'2017/03/22 18:36:23:491',3,0.641317,0.985263,1
3512,'2017/03/22 18:36:23:492',3,0.641317,0.996834,1
3513,'2017/03/22 18:36:23:528',3,0.641317,0.996834,1
3514,'2017/03/22 18:36:23:528',3,0.641317,1,1
3515,'2017/03/22 18:36:23:658',3,0.641317,1,1
3516,'2017/03/22 18:36:23:658',3,0.641317,1,1
3517,'2017/03/22 18:36:23:792',3,0.641317,1,1
3518,'2017/03/22 18:36:23:792',3,0.641317,1,1
3519,'2017/03/22 18:36:23:860',3,0.641317,1,1
3520,'2017/03/22 18:36:23:861',3,0.641317,1,1
